Parameters Labels,Par_0,Wavelength0,Exp_0,,,
,0.0000000E+0,6.2005089E-1,0.0000000E+0,,,
,0.0000000E+0,6.2405122E-1,0.0000000E+0,,,
,0.0000000E+0,6.2805155E-1,0.0000000E+0,,,
,0.0000000E+0,6.3205188E-1,0.0000000E+0,,,
,0.0000000E+0,6.3605220E-1,0.0000000E+0,,,
,0.0000000E+0,6.4005253E-1,0.0000000E+0,,,
,0.0000000E+0,6.4405286E-1,0.0000000E+0,,,
,0.0000000E+0,6.4805319E-1,1.0000000E+0,,,
,0.0000000E+0,6.5205352E-1,0.0000000E+0,,,
,0.0000000E+0,6.5605385E-1,0.0000000E+0,,,
,0.0000000E+0,6.6005417E-1,0.0000000E+0,,,
,0.0000000E+0,6.6405450E-1,0.0000000E+0,,,
,0.0000000E+0,6.6805483E-1,0.0000000E+0,,,
,0.0000000E+0,6.7205516E-1,0.0000000E+0,,,
,0.0000000E+0,6.7605549E-1,1.0000000E+0,,,
,0.0000000E+0,6.8005582E-1,1.0000000E+0,,,
,0.0000000E+0,6.8405614E-1,0.0000000E+0,,,
,0.0000000E+0,6.8805647E-1,0.0000000E+0,,,
,0.0000000E+0,6.9205680E-1,0.0000000E+0,,,
,0.0000000E+0,6.9605713E-1,0.0000000E+0,,,
,0.0000000E+0,7.0005746E-1,0.0000000E+0,,,
,0.0000000E+0,7.0405779E-1,0.0000000E+0,,,
,0.0000000E+0,7.0805811E-1,0.0000000E+0,,,
,0.0000000E+0,7.1205844E-1,0.0000000E+0,,,
,0.0000000E+0,7.1605877E-1,0.0000000E+0,,,
,0.0000000E+0,7.2005910E-1,0.0000000E+0,,,
,0.0000000E+0,7.2405943E-1,0.0000000E+0,,,
,0.0000000E+0,7.2805976E-1,0.0000000E+0,,,
,0.0000000E+0,7.3206008E-1,0.0000000E+0,,,
,0.0000000E+0,7.3606041E-1,0.0000000E+0,,,
,0.0000000E+0,7.4006074E-1,0.0000000E+0,,,
,0.0000000E+0,7.4406107E-1,0.0000000E+0,,,
,0.0000000E+0,7.4806140E-1,0.0000000E+0,,,
,0.0000000E+0,7.5206173E-1,0.0000000E+0,,,
,0.0000000E+0,7.5606205E-1,0.0000000E+0,,,
,0.0000000E+0,7.6006238E-1,0.0000000E+0,,,
,0.0000000E+0,7.6406271E-1,1.0000000E+0,,,
,0.0000000E+0,7.6806304E-1,0.0000000E+0,,,
,0.0000000E+0,7.7206337E-1,0.0000000E+0,,,
,0.0000000E+0,7.7606370E-1,0.0000000E+0,,,
,0.0000000E+0,7.8006402E-1,1.0000000E+0,,,
,0.0000000E+0,7.8406435E-1,0.0000000E+0,,,
,0.0000000E+0,7.8806468E-1,1.0000000E+0,,,
,0.0000000E+0,7.9206501E-1,1.0000000E+0,,,
,0.0000000E+0,7.9606534E-1,0.0000000E+0,,,
,0.0000000E+0,8.0006567E-1,0.0000000E+0,,,
,0.0000000E+0,8.0406599E-1,0.0000000E+0,,,
,0.0000000E+0,8.0806632E-1,0.0000000E+0,,,
,0.0000000E+0,8.1206665E-1,0.0000000E+0,,,
,0.0000000E+0,8.1606698E-1,0.0000000E+0,,,
,0.0000000E+0,8.2006731E-1,0.0000000E+0,,,
,0.0000000E+0,8.2406764E-1,0.0000000E+0,,,
,0.0000000E+0,8.2806796E-1,0.0000000E+0,,,
,0.0000000E+0,8.3206829E-1,0.0000000E+0,,,
,0.0000000E+0,8.3606862E-1,1.0000000E+0,,,
,0.0000000E+0,8.4006895E-1,0.0000000E+0,,,
,0.0000000E+0,8.4406928E-1,0.0000000E+0,,,
,0.0000000E+0,8.4806961E-1,2.0000000E+0,,,
,0.0000000E+0,8.5206993E-1,0.0000000E+0,,,
,0.0000000E+0,8.5607026E-1,0.0000000E+0,,,
,0.0000000E+0,8.6007059E-1,0.0000000E+0,,,
,0.0000000E+0,8.6407092E-1,0.0000000E+0,,,
,0.0000000E+0,8.6807125E-1,0.0000000E+0,,,
,0.0000000E+0,8.7207158E-1,0.0000000E+0,,,
,0.0000000E+0,8.7607190E-1,0.0000000E+0,,,
,0.0000000E+0,8.8007223E-1,1.0000000E+0,,,
,0.0000000E+0,8.8407256E-1,1.0000000E+0,,,
,0.0000000E+0,8.8807289E-1,0.0000000E+0,,,
,0.0000000E+0,8.9207322E-1,0.0000000E+0,,,
,0.0000000E+0,8.9607355E-1,1.0000000E+0,,,
,0.0000000E+0,9.0007387E-1,0.0000000E+0,,,
,0.0000000E+0,9.0407420E-1,0.0000000E+0,,,
,0.0000000E+0,9.0807453E-1,0.0000000E+0,,,
,0.0000000E+0,9.1207486E-1,0.0000000E+0,,,
,0.0000000E+0,9.1607519E-1,0.0000000E+0,,,
,0.0000000E+0,9.2007552E-1,0.0000000E+0,,,
,0.0000000E+0,9.2407584E-1,0.0000000E+0,,,
,0.0000000E+0,9.2807617E-1,0.0000000E+0,,,
,0.0000000E+0,9.3207650E-1,0.0000000E+0,,,
,0.0000000E+0,9.3607683E-1,0.0000000E+0,,,
,0.0000000E+0,9.4007716E-1,0.0000000E+0,,,
,0.0000000E+0,9.4407749E-1,0.0000000E+0,,,
,0.0000000E+0,9.4807781E-1,0.0000000E+0,,,
,0.0000000E+0,9.5207814E-1,1.0000000E+0,,,
,0.0000000E+0,9.5607847E-1,0.0000000E+0,,,
,0.0000000E+0,9.6007880E-1,1.0000000E+0,,,
,0.0000000E+0,9.6407913E-1,0.0000000E+0,,,
,0.0000000E+0,9.6807946E-1,0.0000000E+0,,,
,0.0000000E+0,9.7207978E-1,0.0000000E+0,,,
,0.0000000E+0,9.7608011E-1,0.0000000E+0,,,
,0.0000000E+0,9.8008044E-1,0.0000000E+0,,,
,0.0000000E+0,9.8408077E-1,0.0000000E+0,,,
,0.0000000E+0,9.8808110E-1,0.0000000E+0,,,
,0.0000000E+0,9.9208143E-1,0.0000000E+0,,,
,0.0000000E+0,9.9608175E-1,0.0000000E+0,,,
,0.0000000E+0,1.0000821E+0,0.0000000E+0,,,
,0.0000000E+0,1.0040824E+0,0.0000000E+0,,,
,0.0000000E+0,1.0080827E+0,0.0000000E+0,,,
,0.0000000E+0,1.0120831E+0,0.0000000E+0,,,
,0.0000000E+0,1.0160834E+0,0.0000000E+0,,,
,0.0000000E+0,1.0200837E+0,0.0000000E+0,,,
,0.0000000E+0,1.0240841E+0,1.0000000E+0,,,
,0.0000000E+0,1.0280844E+0,0.0000000E+0,,,
,0.0000000E+0,1.0320847E+0,0.0000000E+0,,,
,0.0000000E+0,1.0360850E+0,0.0000000E+0,,,
,0.0000000E+0,1.0400854E+0,0.0000000E+0,,,
,0.0000000E+0,1.0440857E+0,0.0000000E+0,,,
,0.0000000E+0,1.0480860E+0,0.0000000E+0,,,
,0.0000000E+0,1.0520864E+0,0.0000000E+0,,,
,0.0000000E+0,1.0560867E+0,0.0000000E+0,,,
,0.0000000E+0,1.0600870E+0,1.0000000E+0,,,
,0.0000000E+0,1.0640873E+0,0.0000000E+0,,,
,0.0000000E+0,1.0680877E+0,0.0000000E+0,,,
,0.0000000E+0,1.0720880E+0,0.0000000E+0,,,
,0.0000000E+0,1.0760883E+0,0.0000000E+0,,,
,0.0000000E+0,1.0800886E+0,0.0000000E+0,,,
,0.0000000E+0,1.0840890E+0,0.0000000E+0,,,
,0.0000000E+0,1.0880893E+0,0.0000000E+0,,,
,0.0000000E+0,1.0920896E+0,0.0000000E+0,,,
,0.0000000E+0,1.0960900E+0,0.0000000E+0,,,
,0.0000000E+0,1.1000903E+0,0.0000000E+0,,,
,0.0000000E+0,1.1040906E+0,0.0000000E+0,,,
,0.0000000E+0,1.1080909E+0,0.0000000E+0,,,
,0.0000000E+0,1.1120913E+0,1.0000000E+0,,,
,0.0000000E+0,1.1160916E+0,1.0000000E+0,,,
,0.0000000E+0,1.1200919E+0,0.0000000E+0,,,
,0.0000000E+0,1.1240923E+0,0.0000000E+0,,,
,0.0000000E+0,1.1280926E+0,0.0000000E+0,,,
,0.0000000E+0,1.1320929E+0,0.0000000E+0,,,
,0.0000000E+0,1.1360932E+0,0.0000000E+0,,,
,0.0000000E+0,1.1400936E+0,0.0000000E+0,,,
,0.0000000E+0,1.1440939E+0,0.0000000E+0,,,
,0.0000000E+0,1.1480942E+0,0.0000000E+0,,,
,0.0000000E+0,1.1520946E+0,0.0000000E+0,,,
,0.0000000E+0,1.1560949E+0,0.0000000E+0,,,
,0.0000000E+0,1.1600952E+0,0.0000000E+0,,,
,0.0000000E+0,1.1640955E+0,0.0000000E+0,,,
,0.0000000E+0,1.1680959E+0,0.0000000E+0,,,
,0.0000000E+0,1.1720962E+0,0.0000000E+0,,,
,0.0000000E+0,1.1760965E+0,0.0000000E+0,,,
,0.0000000E+0,1.1800969E+0,0.0000000E+0,,,
,0.0000000E+0,1.1840972E+0,0.0000000E+0,,,
,0.0000000E+0,1.1880975E+0,0.0000000E+0,,,
,0.0000000E+0,1.1920978E+0,0.0000000E+0,,,
,0.0000000E+0,1.1960982E+0,0.0000000E+0,,,
,0.0000000E+0,1.2000985E+0,0.0000000E+0,,,
,0.0000000E+0,1.2040988E+0,0.0000000E+0,,,
,0.0000000E+0,1.2080992E+0,0.0000000E+0,,,
,0.0000000E+0,1.2120995E+0,2.0000000E+0,,,
,0.0000000E+0,1.2160998E+0,0.0000000E+0,,,
,0.0000000E+0,1.2201001E+0,0.0000000E+0,,,
,0.0000000E+0,1.2241005E+0,1.0000000E+0,,,
,0.0000000E+0,1.2281008E+0,0.0000000E+0,,,
,0.0000000E+0,1.2321011E+0,0.0000000E+0,,,
,0.0000000E+0,1.2361015E+0,0.0000000E+0,,,
,0.0000000E+0,1.2401018E+0,0.0000000E+0,,,
,0.0000000E+0,1.2441021E+0,0.0000000E+0,,,
,0.0000000E+0,1.2481024E+0,1.0000000E+0,,,
,0.0000000E+0,1.2521028E+0,0.0000000E+0,,,
,0.0000000E+0,1.2561031E+0,0.0000000E+0,,,
,0.0000000E+0,1.2601034E+0,0.0000000E+0,,,
,0.0000000E+0,1.2641038E+0,0.0000000E+0,,,
,0.0000000E+0,1.2681041E+0,0.0000000E+0,,,
,0.0000000E+0,1.2721044E+0,0.0000000E+0,,,
,0.0000000E+0,1.2761047E+0,0.0000000E+0,,,
,0.0000000E+0,1.2801051E+0,0.0000000E+0,,,
,0.0000000E+0,1.2841054E+0,0.0000000E+0,,,
,0.0000000E+0,1.2881057E+0,0.0000000E+0,,,
,0.0000000E+0,1.2921060E+0,0.0000000E+0,,,
,0.0000000E+0,1.2961064E+0,0.0000000E+0,,,
,0.0000000E+0,1.3001067E+0,0.0000000E+0,,,
,0.0000000E+0,1.3041070E+0,0.0000000E+0,,,
,0.0000000E+0,1.3081074E+0,0.0000000E+0,,,
,0.0000000E+0,1.3121077E+0,0.0000000E+0,,,
,0.0000000E+0,1.3161080E+0,0.0000000E+0,,,
,0.0000000E+0,1.3201083E+0,1.0000000E+0,,,
,0.0000000E+0,1.3241087E+0,0.0000000E+0,,,
,0.0000000E+0,1.3281090E+0,0.0000000E+0,,,
,0.0000000E+0,1.3321093E+0,0.0000000E+0,,,
,0.0000000E+0,1.3361097E+0,0.0000000E+0,,,
,0.0000000E+0,1.3401100E+0,0.0000000E+0,,,
,0.0000000E+0,1.3441103E+0,0.0000000E+0,,,
,0.0000000E+0,1.3481106E+0,0.0000000E+0,,,
,0.0000000E+0,1.3521110E+0,0.0000000E+0,,,
,0.0000000E+0,1.3561113E+0,0.0000000E+0,,,
,0.0000000E+0,1.3601116E+0,1.0000000E+0,,,
,0.0000000E+0,1.3641120E+0,0.0000000E+0,,,
,0.0000000E+0,1.3681123E+0,0.0000000E+0,,,
,0.0000000E+0,1.3721126E+0,0.0000000E+0,,,
,0.0000000E+0,1.3761129E+0,0.0000000E+0,,,
,0.0000000E+0,1.3801133E+0,0.0000000E+0,,,
,0.0000000E+0,1.3841136E+0,0.0000000E+0,,,
,0.0000000E+0,1.3881139E+0,0.0000000E+0,,,
,0.0000000E+0,1.3921143E+0,0.0000000E+0,,,
,0.0000000E+0,1.3961146E+0,0.0000000E+0,,,
,0.0000000E+0,1.4001149E+0,0.0000000E+0,,,
,0.0000000E+0,1.4041152E+0,0.0000000E+0,,,
,0.0000000E+0,1.4081156E+0,0.0000000E+0,,,
,0.0000000E+0,1.4121159E+0,0.0000000E+0,,,
,0.0000000E+0,1.4161162E+0,0.0000000E+0,,,
,0.0000000E+0,1.4201166E+0,0.0000000E+0,,,
,0.0000000E+0,1.4241169E+0,0.0000000E+0,,,
,0.0000000E+0,1.4281172E+0,0.0000000E+0,,,
,0.0000000E+0,1.4321175E+0,0.0000000E+0,,,
,0.0000000E+0,1.4361179E+0,0.0000000E+0,,,
,0.0000000E+0,1.4401182E+0,1.0000000E+0,,,
,0.0000000E+0,1.4441185E+0,0.0000000E+0,,,
,0.0000000E+0,1.4481189E+0,0.0000000E+0,,,
,0.0000000E+0,1.4521192E+0,0.0000000E+0,,,
,0.0000000E+0,1.4561195E+0,0.0000000E+0,,,
,0.0000000E+0,1.4601198E+0,0.0000000E+0,,,
,0.0000000E+0,1.4641202E+0,0.0000000E+0,,,
,0.0000000E+0,1.4681205E+0,0.0000000E+0,,,
,0.0000000E+0,1.4721208E+0,0.0000000E+0,,,
,0.0000000E+0,1.4761212E+0,0.0000000E+0,,,
,0.0000000E+0,1.4801215E+0,0.0000000E+0,,,
,0.0000000E+0,1.4841218E+0,0.0000000E+0,,,
,0.0000000E+0,1.4881221E+0,0.0000000E+0,,,
,0.0000000E+0,1.4921225E+0,0.0000000E+0,,,
,0.0000000E+0,1.4961228E+0,0.0000000E+0,,,
,0.0000000E+0,1.5001231E+0,1.0000000E+0,,,
,0.0000000E+0,1.5041235E+0,0.0000000E+0,,,
,0.0000000E+0,1.5081238E+0,0.0000000E+0,,,
,0.0000000E+0,1.5121241E+0,0.0000000E+0,,,
,0.0000000E+0,1.5161244E+0,0.0000000E+0,,,
,0.0000000E+0,1.5201248E+0,0.0000000E+0,,,
,0.0000000E+0,1.5241251E+0,0.0000000E+0,,,
,0.0000000E+0,1.5281254E+0,0.0000000E+0,,,
,0.0000000E+0,1.5321257E+0,0.0000000E+0,,,
,0.0000000E+0,1.5361261E+0,1.0000000E+0,,,
,0.0000000E+0,1.5401264E+0,0.0000000E+0,,,
,0.0000000E+0,1.5441267E+0,2.0000000E+0,,,
,0.0000000E+0,1.5481271E+0,0.0000000E+0,,,
,0.0000000E+0,1.5521274E+0,0.0000000E+0,,,
,0.0000000E+0,1.5561277E+0,0.0000000E+0,,,
,0.0000000E+0,1.5601280E+0,0.0000000E+0,,,
,0.0000000E+0,1.5641284E+0,0.0000000E+0,,,
,0.0000000E+0,1.5681287E+0,0.0000000E+0,,,
,0.0000000E+0,1.5721290E+0,0.0000000E+0,,,
,0.0000000E+0,1.5761294E+0,0.0000000E+0,,,
,0.0000000E+0,1.5801297E+0,0.0000000E+0,,,
,0.0000000E+0,1.5841300E+0,0.0000000E+0,,,
,0.0000000E+0,1.5881303E+0,0.0000000E+0,,,
,0.0000000E+0,1.5921307E+0,1.0000000E+0,,,
,0.0000000E+0,1.5961310E+0,0.0000000E+0,,,
,0.0000000E+0,1.6001313E+0,1.0000000E+0,,,
,0.0000000E+0,1.6041317E+0,0.0000000E+0,,,
,0.0000000E+0,1.6081320E+0,0.0000000E+0,,,
,0.0000000E+0,1.6121323E+0,0.0000000E+0,,,
,0.0000000E+0,1.6161326E+0,0.0000000E+0,,,
,0.0000000E+0,1.6201330E+0,0.0000000E+0,,,
,0.0000000E+0,1.6241333E+0,0.0000000E+0,,,
,0.0000000E+0,1.6281336E+0,0.0000000E+0,,,
,0.0000000E+0,1.6321340E+0,0.0000000E+0,,,
,0.0000000E+0,1.6361343E+0,0.0000000E+0,,,
,0.0000000E+0,1.6401346E+0,0.0000000E+0,,,
,0.0000000E+0,1.6441349E+0,0.0000000E+0,,,
,0.0000000E+0,1.6481353E+0,0.0000000E+0,,,
,0.0000000E+0,1.6521356E+0,0.0000000E+0,,,
,0.0000000E+0,1.6561359E+0,0.0000000E+0,,,
,0.0000000E+0,1.6601363E+0,1.0000000E+0,,,
