Parameters Labels,Par_0,Wavelength0,Exp_0,,,
,0.0000000E+0,9.8808008E-1,8.0000000E+0,,,
,0.0000000E+0,9.9208041E-1,9.0000000E+0,,,
,0.0000000E+0,9.9608073E-1,4.0000000E+0,,,
,0.0000000E+0,1.0000811E+0,7.0000000E+0,,,
,0.0000000E+0,1.0040814E+0,6.0000000E+0,,,
,0.0000000E+0,1.0080817E+0,4.0000000E+0,,,
,0.0000000E+0,1.0120820E+0,6.0000000E+0,,,
,0.0000000E+0,1.0160824E+0,8.0000000E+0,,,
,0.0000000E+0,1.0200827E+0,6.0000000E+0,,,
,0.0000000E+0,1.0240830E+0,5.0000000E+0,,,
,0.0000000E+0,1.0280833E+0,3.0000000E+0,,,
,0.0000000E+0,1.0320836E+0,1.4000000E+1,,,
,0.0000000E+0,1.0360840E+0,9.0000000E+0,,,
,0.0000000E+0,1.0400843E+0,6.0000000E+0,,,
,0.0000000E+0,1.0440846E+0,5.0000000E+0,,,
,0.0000000E+0,1.0480849E+0,9.0000000E+0,,,
,0.0000000E+0,1.0520853E+0,4.0000000E+0,,,
,0.0000000E+0,1.0560856E+0,4.0000000E+0,,,
,0.0000000E+0,1.0600859E+0,8.0000000E+0,,,
,0.0000000E+0,1.0640862E+0,9.0000000E+0,,,
,0.0000000E+0,1.0680866E+0,7.0000000E+0,,,
,0.0000000E+0,1.0720869E+0,7.0000000E+0,,,
,0.0000000E+0,1.0760872E+0,5.0000000E+0,,,
,0.0000000E+0,1.0800875E+0,5.0000000E+0,,,
,0.0000000E+0,1.0840879E+0,1.1000000E+1,,,
,0.0000000E+0,1.0880882E+0,5.0000000E+0,,,
,0.0000000E+0,1.0920885E+0,3.0000000E+0,,,
,0.0000000E+0,1.0960888E+0,6.0000000E+0,,,
,0.0000000E+0,1.1000892E+0,1.2000000E+1,,,
,0.0000000E+0,1.1040895E+0,5.0000000E+0,,,
,0.0000000E+0,1.1080898E+0,1.1000000E+1,,,
,0.0000000E+0,1.1120901E+0,3.0000000E+0,,,
,0.0000000E+0,1.1160905E+0,5.0000000E+0,,,
,0.0000000E+0,1.1200908E+0,4.0000000E+0,,,
,0.0000000E+0,1.1240911E+0,8.0000000E+0,,,
,0.0000000E+0,1.1280914E+0,4.0000000E+0,,,
,0.0000000E+0,1.1320918E+0,5.0000000E+0,,,
,0.0000000E+0,1.1360921E+0,4.0000000E+0,,,
,0.0000000E+0,1.1400924E+0,5.0000000E+0,,,
,0.0000000E+0,1.1440927E+0,9.0000000E+0,,,
,0.0000000E+0,1.1480931E+0,0.0000000E+0,,,
,0.0000000E+0,1.1520934E+0,4.0000000E+0,,,
,0.0000000E+0,1.1560937E+0,9.0000000E+0,,,
,0.0000000E+0,1.1600940E+0,5.0000000E+0,,,
,0.0000000E+0,1.1640943E+0,7.0000000E+0,,,
,0.0000000E+0,1.1680947E+0,6.0000000E+0,,,
,0.0000000E+0,1.1720950E+0,5.0000000E+0,,,
,0.0000000E+0,1.1760953E+0,6.0000000E+0,,,
,0.0000000E+0,1.1800956E+0,3.0000000E+0,,,
,0.0000000E+0,1.1840960E+0,2.0000000E+0,,,
,0.0000000E+0,1.1880963E+0,7.0000000E+0,,,
,0.0000000E+0,1.1920966E+0,6.0000000E+0,,,
,0.0000000E+0,1.1960969E+0,5.0000000E+0,,,
,0.0000000E+0,1.2000973E+0,9.0000000E+0,,,
,0.0000000E+0,1.2040976E+0,4.0000000E+0,,,
,0.0000000E+0,1.2080979E+0,4.0000000E+0,,,
,0.0000000E+0,1.2120982E+0,1.0000000E+1,,,
,0.0000000E+0,1.2160986E+0,6.0000000E+0,,,
,0.0000000E+0,1.2200989E+0,8.0000000E+0,,,
,0.0000000E+0,1.2240992E+0,3.0000000E+0,,,
,0.0000000E+0,1.2280995E+0,3.0000000E+0,,,
,0.0000000E+0,1.2320999E+0,4.0000000E+0,,,
,0.0000000E+0,1.2361002E+0,2.0000000E+0,,,
,0.0000000E+0,1.2401005E+0,6.0000000E+0,,,
,0.0000000E+0,1.2441008E+0,2.0000000E+0,,,
,0.0000000E+0,1.2481012E+0,3.0000000E+0,,,
,0.0000000E+0,1.2521015E+0,1.0000000E+0,,,
,0.0000000E+0,1.2561018E+0,6.0000000E+0,,,
,0.0000000E+0,1.2601021E+0,4.0000000E+0,,,
,0.0000000E+0,1.2641025E+0,7.0000000E+0,,,
,0.0000000E+0,1.2681028E+0,4.0000000E+0,,,
,0.0000000E+0,1.2721031E+0,6.0000000E+0,,,
,0.0000000E+0,1.2761034E+0,3.0000000E+0,,,
,0.0000000E+0,1.2801038E+0,1.3000000E+1,,,
,0.0000000E+0,1.2841041E+0,5.0000000E+0,,,
,0.0000000E+0,1.2881044E+0,8.0000000E+0,,,
,0.0000000E+0,1.2921047E+0,7.0000000E+0,,,
,0.0000000E+0,1.2961050E+0,5.0000000E+0,,,
,0.0000000E+0,1.3001054E+0,8.0000000E+0,,,
,0.0000000E+0,1.3041057E+0,8.0000000E+0,,,
,0.0000000E+0,1.3081060E+0,9.0000000E+0,,,
,0.0000000E+0,1.3121063E+0,7.0000000E+0,,,
,0.0000000E+0,1.3161067E+0,5.0000000E+0,,,
,0.0000000E+0,1.3201070E+0,1.1000000E+1,,,
,0.0000000E+0,1.3241073E+0,1.0000000E+0,,,
,0.0000000E+0,1.3281076E+0,2.0000000E+0,,,
,0.0000000E+0,1.3321080E+0,4.0000000E+0,,,
,0.0000000E+0,1.3361083E+0,6.0000000E+0,,,
,0.0000000E+0,1.3401086E+0,5.0000000E+0,,,
,0.0000000E+0,1.3441089E+0,1.0000000E+1,,,
,0.0000000E+0,1.3481093E+0,6.0000000E+0,,,
,0.0000000E+0,1.3521096E+0,4.0000000E+0,,,
,0.0000000E+0,1.3561099E+0,8.0000000E+0,,,
,0.0000000E+0,1.3601102E+0,5.0000000E+0,,,
,0.0000000E+0,1.3641106E+0,5.0000000E+0,,,
,0.0000000E+0,1.3681109E+0,4.0000000E+0,,,
,0.0000000E+0,1.3721112E+0,1.6000000E+1,,,
,0.0000000E+0,1.3761115E+0,5.0000000E+0,,,
,0.0000000E+0,1.3801119E+0,4.0000000E+0,,,
,0.0000000E+0,1.3841122E+0,8.0000000E+0,,,
,0.0000000E+0,1.3881125E+0,4.0000000E+0,,,
,0.0000000E+0,1.3921128E+0,4.0000000E+0,,,
,0.0000000E+0,1.3961132E+0,5.0000000E+0,,,
,0.0000000E+0,1.4001135E+0,4.0000000E+0,,,
,0.0000000E+0,1.4041138E+0,7.0000000E+0,,,
,0.0000000E+0,1.4081141E+0,3.0000000E+0,,,
,0.0000000E+0,1.4121145E+0,1.0000000E+1,,,
,0.0000000E+0,1.4161148E+0,7.0000000E+0,,,
,0.0000000E+0,1.4201151E+0,1.1000000E+1,,,
,0.0000000E+0,1.4241154E+0,4.0000000E+0,,,
,0.0000000E+0,1.4281157E+0,3.0000000E+0,,,
,0.0000000E+0,1.4321161E+0,4.0000000E+0,,,
,0.0000000E+0,1.4361164E+0,3.0000000E+0,,,
,0.0000000E+0,1.4401167E+0,7.0000000E+0,,,
,0.0000000E+0,1.4441170E+0,1.0000000E+1,,,
,0.0000000E+0,1.4481174E+0,8.0000000E+0,,,
,0.0000000E+0,1.4521177E+0,7.0000000E+0,,,
,0.0000000E+0,1.4561180E+0,2.0000000E+0,,,
,0.0000000E+0,1.4601183E+0,4.0000000E+0,,,
,0.0000000E+0,1.4641187E+0,4.0000000E+0,,,
,0.0000000E+0,1.4681190E+0,5.0000000E+0,,,
,0.0000000E+0,1.4721193E+0,5.0000000E+0,,,
,0.0000000E+0,1.4761196E+0,5.0000000E+0,,,
,0.0000000E+0,1.4801200E+0,6.0000000E+0,,,
,0.0000000E+0,1.4841203E+0,2.0000000E+0,,,
,0.0000000E+0,1.4881206E+0,8.0000000E+0,,,
,0.0000000E+0,1.4921209E+0,8.0000000E+0,,,
,0.0000000E+0,1.4961213E+0,9.0000000E+0,,,
,0.0000000E+0,1.5001216E+0,4.0000000E+0,,,
,0.0000000E+0,1.5041219E+0,2.0000000E+0,,,
,0.0000000E+0,1.5081222E+0,1.4000000E+1,,,
,0.0000000E+0,1.5121226E+0,7.0000000E+0,,,
,0.0000000E+0,1.5161229E+0,1.1000000E+1,,,
,0.0000000E+0,1.5201232E+0,7.0000000E+0,,,
,0.0000000E+0,1.5241235E+0,9.0000000E+0,,,
,0.0000000E+0,1.5281239E+0,5.0000000E+0,,,
,0.0000000E+0,1.5321242E+0,5.0000000E+0,,,
,0.0000000E+0,1.5361245E+0,2.0000000E+0,,,
,0.0000000E+0,1.5401248E+0,6.0000000E+0,,,
,0.0000000E+0,1.5441252E+0,3.0000000E+0,,,
,0.0000000E+0,1.5481255E+0,2.0000000E+0,,,
,0.0000000E+0,1.5521258E+0,7.0000000E+0,,,
,0.0000000E+0,1.5561261E+0,8.0000000E+0,,,
,0.0000000E+0,1.5601264E+0,8.0000000E+0,,,
,0.0000000E+0,1.5641268E+0,5.0000000E+0,,,
,0.0000000E+0,1.5681271E+0,4.0000000E+0,,,
,0.0000000E+0,1.5721274E+0,6.0000000E+0,,,
,0.0000000E+0,1.5761277E+0,8.0000000E+0,,,
,0.0000000E+0,1.5801281E+0,8.0000000E+0,,,
,0.0000000E+0,1.5841284E+0,8.0000000E+0,,,
,0.0000000E+0,1.5881287E+0,5.0000000E+0,,,
,0.0000000E+0,1.5921290E+0,6.0000000E+0,,,
,0.0000000E+0,1.5961294E+0,5.0000000E+0,,,
