Parameters Labels,Par_0,Wavelength0,Exp_0,,,
,0.0000000E+0,7.2005984E-1,6.0000000E+0,,,
,0.0000000E+0,7.2406017E-1,6.0000000E+0,,,
,0.0000000E+0,7.2806050E-1,3.0000000E+0,,,
,0.0000000E+0,7.3206084E-1,6.0000000E+0,,,
,0.0000000E+0,7.3606117E-1,4.0000000E+0,,,
,0.0000000E+0,7.4006150E-1,6.0000000E+0,,,
,0.0000000E+0,7.4406183E-1,3.0000000E+0,,,
,0.0000000E+0,7.4806216E-1,5.0000000E+0,,,
,0.0000000E+0,7.5206250E-1,1.0000000E+1,,,
,0.0000000E+0,7.5606283E-1,8.0000000E+0,,,
,0.0000000E+0,7.6006316E-1,8.0000000E+0,,,
,0.0000000E+0,7.6406349E-1,1.0000000E+0,,,
,0.0000000E+0,7.6806383E-1,5.0000000E+0,,,
,0.0000000E+0,7.7206416E-1,3.0000000E+0,,,
,0.0000000E+0,7.7606449E-1,5.0000000E+0,,,
,0.0000000E+0,7.8006482E-1,8.0000000E+0,,,
,0.0000000E+0,7.8406516E-1,3.0000000E+0,,,
,0.0000000E+0,7.8806549E-1,5.0000000E+0,,,
,0.0000000E+0,7.9206582E-1,4.0000000E+0,,,
,0.0000000E+0,7.9606615E-1,7.0000000E+0,,,
,0.0000000E+0,8.0006649E-1,8.0000000E+0,,,
,0.0000000E+0,8.0406682E-1,9.0000000E+0,,,
,0.0000000E+0,8.0806715E-1,4.0000000E+0,,,
,0.0000000E+0,8.1206748E-1,2.0000000E+0,,,
,0.0000000E+0,8.1606782E-1,4.0000000E+0,,,
,0.0000000E+0,8.2006815E-1,3.0000000E+0,,,
,0.0000000E+0,8.2406848E-1,2.0000000E+0,,,
,0.0000000E+0,8.2806881E-1,5.0000000E+0,,,
,0.0000000E+0,8.3206915E-1,7.0000000E+0,,,
,0.0000000E+0,8.3606948E-1,6.0000000E+0,,,
,0.0000000E+0,8.4006981E-1,6.0000000E+0,,,
,0.0000000E+0,8.4407014E-1,2.0000000E+0,,,
,0.0000000E+0,8.4807048E-1,4.0000000E+0,,,
,0.0000000E+0,8.5207081E-1,7.0000000E+0,,,
,0.0000000E+0,8.5607114E-1,8.0000000E+0,,,
,0.0000000E+0,8.6007147E-1,4.0000000E+0,,,
,0.0000000E+0,8.6407181E-1,6.0000000E+0,,,
,0.0000000E+0,8.6807214E-1,6.0000000E+0,,,
,0.0000000E+0,8.7207247E-1,1.2000000E+1,,,
,0.0000000E+0,8.7607280E-1,4.0000000E+0,,,
,0.0000000E+0,8.8007314E-1,4.0000000E+0,,,
,0.0000000E+0,8.8407347E-1,4.0000000E+0,,,
,0.0000000E+0,8.8807380E-1,8.0000000E+0,,,
,0.0000000E+0,8.9207413E-1,5.0000000E+0,,,
,0.0000000E+0,8.9607446E-1,6.0000000E+0,,,
,0.0000000E+0,9.0007480E-1,7.0000000E+0,,,
,0.0000000E+0,9.0407513E-1,4.0000000E+0,,,
,0.0000000E+0,9.0807546E-1,2.0000000E+0,,,
,0.0000000E+0,9.1207579E-1,4.0000000E+0,,,
,0.0000000E+0,9.1607613E-1,1.0000000E+0,,,
,0.0000000E+0,9.2007646E-1,6.0000000E+0,,,
,0.0000000E+0,9.2407679E-1,4.0000000E+0,,,
,0.0000000E+0,9.2807712E-1,7.0000000E+0,,,
,0.0000000E+0,9.3207746E-1,8.0000000E+0,,,
,0.0000000E+0,9.3607779E-1,4.0000000E+0,,,
,0.0000000E+0,9.4007812E-1,5.0000000E+0,,,
,0.0000000E+0,9.4407845E-1,4.0000000E+0,,,
,0.0000000E+0,9.4807879E-1,4.0000000E+0,,,
,0.0000000E+0,9.5207912E-1,3.0000000E+0,,,
,0.0000000E+0,9.5607945E-1,3.0000000E+0,,,
,0.0000000E+0,9.6007978E-1,4.0000000E+0,,,
,0.0000000E+0,9.6408012E-1,5.0000000E+0,,,
,0.0000000E+0,9.6808045E-1,1.0000000E+0,,,
,0.0000000E+0,9.7208078E-1,7.0000000E+0,,,
,0.0000000E+0,9.7608111E-1,7.0000000E+0,,,
,0.0000000E+0,9.8008145E-1,7.0000000E+0,,,
,0.0000000E+0,9.8408178E-1,4.0000000E+0,,,
,0.0000000E+0,9.8808211E-1,3.0000000E+0,,,
,0.0000000E+0,9.9208244E-1,6.0000000E+0,,,
,0.0000000E+0,9.9608278E-1,8.0000000E+0,,,
,0.0000000E+0,1.0000831E+0,2.0000000E+0,,,
,0.0000000E+0,1.0040834E+0,1.1000000E+1,,,
,0.0000000E+0,1.0080838E+0,5.0000000E+0,,,
,0.0000000E+0,1.0120841E+0,6.0000000E+0,,,
,0.0000000E+0,1.0160844E+0,2.0000000E+0,,,
,0.0000000E+0,1.0200848E+0,3.0000000E+0,,,
,0.0000000E+0,1.0240851E+0,7.0000000E+0,,,
,0.0000000E+0,1.0280854E+0,6.0000000E+0,,,
,0.0000000E+0,1.0320858E+0,5.0000000E+0,,,
,0.0000000E+0,1.0360861E+0,7.0000000E+0,,,
,0.0000000E+0,1.0400864E+0,4.0000000E+0,,,
,0.0000000E+0,1.0440868E+0,1.0000000E+1,,,
,0.0000000E+0,1.0480871E+0,9.0000000E+0,,,
,0.0000000E+0,1.0520874E+0,2.0000000E+0,,,
,0.0000000E+0,1.0560878E+0,9.0000000E+0,,,
,0.0000000E+0,1.0600881E+0,3.0000000E+0,,,
,0.0000000E+0,1.0640884E+0,5.0000000E+0,,,
,0.0000000E+0,1.0680888E+0,2.0000000E+0,,,
,0.0000000E+0,1.0720891E+0,5.0000000E+0,,,
,0.0000000E+0,1.0760894E+0,6.0000000E+0,,,
,0.0000000E+0,1.0800898E+0,7.0000000E+0,,,
